Company,Position
Capgemini Engineering,Middle AQA Engineer
"Erowa Technology, Inc",Senior Design Engineer
Pyogi LLC,Senior Backend Engineer (Consulting)
Messina Talent Advisors,Talent Operations Advisor
International Renaissance Foundation,Board Member
Omnicom Production,Global Regulatory Operations Manager
Roanoke Insurance Group Inc.,Account Manager
Danylo Halytsky Lviv National Medical University,"Associate Professor of the Department of Psychiatry, Psychology and Sexology "
Accenture,Business & Integration Arch Specialist
Zensar Technologies,SENIOR TECHNICAL SPECIALIST E1
Vestaf LLC,Technical Recruiter
MB Financial Bank,Regional President
Huge,QA Automation & Performance Engineer
Church of New Hope,Director of Engineering
U.S. Bank,Technical Lead
TIPS Consulting,Talent Acquisition Specialist
IdeaSoft.io ,Talent Acquisition Specialist
CyberCoders,Lead Recruiter
Talent.One,Employer Branding Consultant
Lumistry,Quality Assurance Automation Engineer
Baxter International Inc.,Supply Chain Manager
Schrill Technologies Inc.,Sr. Account Manager
DigitalOcean,Senior Technical Writer II(Tech Lead)
Primcloud,Webmaster
GR8 Tech,Engineering Manager
NextPhase.ai,Senior Technical Recruiter
Fixity Technologies,Senior US IT Recruiter
"DMI (Digital Management, LLC)",Director of Product Management
Harris Allied,Recruiting Director
,
DMI,Software Engineer
VCS Digital LLC,Sr. IT Recruiter
Wema Bank Plc.,Software Quality Assurance Engineer
Keenethics,Head of R&D
"Access Search, Inc.",Consultant
Hudl,"QA Automation Engineer | JavaScript, Playwright, AWS, GitHub Actions"
FORME,QA Engineer
Perforce Software,Account Executive
National Research Group,Data / Survey Tester / QA
Encora Inc.,Lead QA Engineer
Alpha Dog Games | Bethesda,Project Manager
INSPYR Solutions,Sr. Technical Delivery Manager
Selfreliance Association,Consultant
Newspaper Hromada,Social Media Specialist 
Culture Index,Client Services Manager
Anderson Optimization by PVcase,QA Engineer
testomat.io,Account Manager
DMI,Director of Engineering
AutopilotAmerica.com,Founder and Product Builder
DMI,Lead UX/UI Designer
i.c.stars |* Chicago,Business Leadership & Technology Specialist
"DMI (Digital Management, LLC)",Frontend Software Engineer
LaSalle Network,Business Development Manager
Dexian,Sr. Technical Recruiter 
Freelance,Steadicam operator.
Cboe Global Markets,"Software Engineer, Test"
SmartBear,Principal Product Manager (PactFlow)
HRize LLC,Recruitment Specialist
Motivity Labs Inc,Enterprise Solutions Specialist
E-Solutions,US Technical Recruiter
DataRobot,Staff Software Engineer (Platform Access Services)
koritsu solutions,Founder
"DMI (Digital Management, LLC)",Specialist (QA Engineer)
Aditi Consulting,Lead/US IT Recruitment for Meta
Randstad Digital,Principal Technical Recruiter 
DataSnipper,Senior Talent Acquisition Partner
Panzer Solutions LLC,Talent Acquisition Manager
HonorVet Technologies India,Executive Recruiter- IT
,
Wells Fargo,Sr Salesforce Engineer
Empower Professionals Inc,Sr. Technical Recruiter
MOONNOX,Full-Stack AI Software Engineer
ELEKS,Solutions Architect
Verynn,Analista de cibersegurança
KeHE Distributors,Senior Test Automation Engineer
"DMI (Digital Management, LLC)",Global Talent Advisor 
WEZOM,Business Development Manager
The Depository Trust & Clearing Corporation (DTCC),Software Engineer
XPO,Software QA Engineer
gener8tor,Startup Mentor
KOMAR,Broker/Owner
KUBRA,Staff Quality Assurance Engineer/SDET
Advantage Technical,Senior Recruiter
Lettuce Entertain You Restaurants,Fullstack Web Developer
"J.Moscovic M.D.,S.C. Office",Office Manager
Resource 1,IT Sourcing Manager
